episode,reward,epsilon,buffer_size,steps,score,avg_loss
151,1070.629715383265,0.20058823529411762,194882,13292,1160,0.11910193404427674
152,946.2354892713879,0.19529411764705873,200000,11251,1030,0.1322664291834996
153,752.9685497604257,0.18999999999999995,200000,9355,831,0.10751199569167542
154,1443.1116869207312,0.18470588235294116,200000,17078,1544,0.10686331150079664
155,593.1106192151184,0.17941176470588238,200000,8386,668,0.09893448460170076
156,492.48724336785534,0.1741176470588235,200000,6317,562,0.10953291300912031
157,1715.5743456154155,0.1688235294117646,200000,20000,1788,0.09941292375314256
158,902.7445439541714,0.1635294117647058,200000,13246,991,0.10910811819059951
159,208.39251167907523,0.15823529411764714,200000,4432,272,0.09261370596302747
160,615.6711769190613,0.15294117647058825,200000,10376,695,0.09769076225767433
161,323.75272207031077,0.14764705882352935,200000,5508,390,0.09940470542126577
162,765.8751897196647,0.14235294117647057,200000,8987,843,0.09145803107223185
163,93.77600789111293,0.13705882352941168,200000,1486,148,0.08239402263975988
164,47.941551050429155,0.131764705882353,200000,1656,103,0.11226641636766135
165,308.0777943221605,0.1264705882352941,200000,6704,378,0.09741667705255815
166,49.34096051779644,0.12117647058823522,200000,2062,106,0.10514716131599096
167,62.54897740664808,0.11588235294117644,200000,1791,118,0.08599600454103243
168,275.52535345702677,0.11058823529411754,200000,9670,354,0.10156598874797118
169,427.5740610516317,0.10529411764705887,200000,10624,508,0.09805067440547317
170,45.30643324133818,0.1,200000,2548,103,0.10108272990602825
171,49.44239856804961,0.1,200000,4323,112,0.09945482603970193
172,43.77913192606692,0.1,200000,3304,103,0.08662135375363579
173,48.41634914182454,0.1,200000,1549,103,0.08397032098264977
174,190.23304992571548,0.1,200000,3493,251,0.09507654241761214
175,-52.39542463664392,0.1,200000,785,0,0.08549052616581321
176,230.36382587890523,0.1,200000,3245,290,0.09941649019513474
177,310.6685791079693,0.1,200000,4087,372,0.11351918143402794
178,57.23247207853472,0.1,200000,2331,115,0.09997030413101746
179,82.22852863562328,0.1,200000,2257,139,0.10359367635059798
180,75.15152834232447,0.1,200000,1362,130,0.10931942879285678
181,-51.65720341101252,0.1,200000,540,0,0.10716692292372938
182,74.28401137405083,0.1,200000,2035,130,0.08033205278496915
183,196.0520451250671,0.1,200000,4894,260,0.0846803962280734
184,1004.6243926331423,0.1,200000,17949,1109,0.08377851660080692
185,341.0968321242681,0.1,200000,5602,408,0.11482951740314569
186,1080.0481490883867,0.1,200000,20000,1160,0.09721264299987255
187,335.74702806192647,0.1,200000,6976,408,0.09917245967263717
188,509.35007281541226,0.1,200000,6800,580,0.093503408739446
189,444.78224152569874,0.1,200000,6485,514,0.08664669345730452
190,650.7189640330537,0.1,200000,7765,725,0.10092649212027772
191,198.10252725870447,0.1,200000,7070,269,0.08823600845798417
192,208.15988983067248,0.1,200000,2355,266,0.08431162404521689
193,321.1277033583061,0.1,200000,6131,390,0.09148751930759695
194,207.46565670806314,0.1,200000,2787,266,0.10048561969952793
195,39.55204979708496,0.1,200000,4432,103,0.08851515994191217
196,968.7907986209477,0.1,200000,20000,1048,0.10088284793302009
197,1051.6063191106107,0.1,200000,16293,1148,0.0918598872339449
198,479.13183527034994,0.1,200000,7031,550,0.07452922400093612
199,188.92607808738418,0.1,200000,3860,251,0.08615274342422982
200,599.1432653053884,0.1,200000,10167,680,0.08731344213434988
